lat,lng
34.04599346191219, -118.04648668713969
34.04599346191219, -118.04691688667795
34.04644246115076, -118.04692102321197
34.04688460311582, -118.0469458424161
34.04728166886381, -118.04693325897698
34.047834580109466, -118.04692058862302
34.04859911714874, -118.04690250334001
34.048613608336, -118.04594057840504
34.04862809952079, -118.04478626848305
34.04910630722906, -118.04471631030597
34.04912079832963, -118.04368442719392
34.05010618735816, -118.04368442719392
34.050062714554265, -118.04235522182921
34.050062714554265, -118.04128835962861
34.0500337326726, -118.04006409152956
34.04919325379532, -118.040029112441
34.03896363982345, -118.02800811489769
34.032912938087385, -118.04208452269353
34.03306699239724, -118.04232205563724
34.032373745689, -118.04426362909652
34.0306534423514, -118.0486941344903
34.030105676753415, -118.05095586101999
34.02984035147841, -118.05264957418916
34.02968629128507, -118.05354806828998
34.02893310409098, -118.05426066705962
34.030371001114375, -118.05508686853165
34.030756147965164, -118.05540702160206
34.03130390936377, -118.05669796140211
34.03232889110933, -118.05640011736034
34.03289465827603, -118.05562876284718
34.03317758767896, -118.0545618648464
34.03351002852175, -118.05416924638213
34.033948565513164, -118.05411376768608
34.035448061994444, -118.05515506014117
34.03535671975958, -118.05456910913128, t
34.03476859507089, -118.05396766876822
34.038073005417715, -118.04984780228895
34.037410140068275, -118.04905390102438
34.038073993697346, -118.04821365952085
34.03874084950656, -118.04734581041532
34.03930595800599, -118.0471553343208
34.03934772380174, -118.04681614974932
34.03961184508029, -118.04673383879313
34.04198454610328, -118.04401232330991
34.04461645465073, -118.04693734470044
34.04597034622731, -118.04692858821593
